Volcano Number,Volcano Name,Region,Estimate method,Recorded small eruptions,Recorded large eruptions,Recorded unknown eruptions,Jenkins classification,Whelley classification,Probability of eruption 5th percentile,Probability of eruption 50th percentile,Probability of eruption 95th percentile,<= VEI 3 5th percentile,<= VEI 3 50th percentile,<= VEI 3 95th percentile,VEI 4 5th percentile,VEI 4 50th percentile,VEI 4 95th percentile,VEI 5 5th percentile,VEI 5 50th percentile,VEI 5 95th percentile,VEI 6 5th percentile,VEI 6 50th percentile,VEI 6 95th percentile,VEI 7 5th percentile,VEI 7 50th percentile,VEI 7 95th percentile
273010,Bulusan,Philippines and SE Asia,Bayesian update,20,0,1,Large cone,Open-vent stratocone,0.07723301618943319,0.09550655370095061,0.11830470281887158,0.07618310734099287,0.08644236269478901,0.09575754717386206,0.0006680634581672144,0.005353302265038095,0.01262753269771346,0.0002577055449074729,0.002402151907783503,0.0062557863216233505,8.119083322202687e-05,0.0008423465472855961,0.002343856352126265,4.294901214360826e-05,0.0004663902860544006,0.0013199802735464354
264001,Buyan-Bratan,Indonesia,Analogue,0,0,0,Caldera,Large caldera,0.0002698608540583818,0.0029149341272436415,0.011770790468733975,0.000226764222618044,0.0024593975719030634,0.009943026459886612,2.4413494075647394e-05,0.00025140207685538205,0.0010247261558072912,1.0076633433105859e-05,0.0001083674510166017,0.0004242800561121599,7.314552963647575e-06,8.197929551315738e-05,0.0003246315834373141,1.2919509679370103e-06,1.3787731955437069e-05,5.4126213490597566e-05
272050,Cabalían,Philippines and SE Asia,Analogue,0,0,1,Large cone,Semi-plugged stratocone,6.0851277890205256e-05,0.0020779823994453825,0.011999448721903028,5.427904057691325e-05,0.0018781571420916961,0.01088951601758365,4.697053242174935e-06,0.00013745897421556323,0.0007569789871049776,1.5352628941008569e-06,5.124329916480068e-05,0.0002867557727043394,3.1157298755179624e-07,1.0120250847260527e-05,5.924691082255396e-05,2.834818946441362e-08,1.0027331260615272e-06,6.951033687506708e-06
273090,Cagua,Philippines and SE Asia,Bayesian update,1,0,0,Large cone,Semi-plugged stratocone,0.0017189052715232548,0.00494865420619043,0.0099442020406307,0.001575512924578579,0.003401525433924268,0.005363479987548962,8.32929089018929e-05,0.0009083876581749137,0.0026865555602120636,4.230127036511332e-05,0.0004383212294972964,0.0012938492679391497,1.7798167677669558e-05,0.0002004198845939518,0.0006003172249305259,0.0,0.0,0.0
274010,Camiguin de Babuyanes,Philippines and SE Asia,Bayesian update,1,0,0,Large cone,Semi-plugged stratocone,0.001741968496270562,0.0048268119458363,0.009608250582800012,0.001602883234273808,0.003368637753295693,0.00528076172709374,8.95198916737435e-05,0.0008976724078670047,0.0026543425655833203,3.7616121391455895e-05,0.00042394958449769435,0.0012535065351630423,1.1949248931554408e-05,0.00013655220017590836,0.00041963975495990847,0.0,0.0,0.0
271080,Camiguin,Philippines and SE Asia,Bayesian update,4,0,0,Large cone,Semi-plugged stratocone,0.011736400113808488,0.019105007195280816,0.029163845978548125,0.011374536690517521,0.015602612768119802,0.01962911139444231,0.0002328188970551419,0.0021906975863071826,0.005802659400207827,9.182313682789148e-05,0.0008949932434609577,0.0025092389225375763,2.8600288271466265e-05,0.00031742903356487526,0.0009313866082940775,8.621101136468418e-06,9.927456382800073e-05,0.00029144965306633223
263170,Cereme,Indonesia,Bayesian update,5,0,0,Large cone,Semi-plugged stratocone,0.01319162299025488,0.020192797796066385,0.029861503488372,0.012831774331435408,0.01687340377344677,0.02091487811198812,0.00021280752960166254,0.0019203933069352067,0.005003464057970587,0.00010208161700900132,0.0009405850536804137,0.0026122786608917337,3.429556049172258e-05,0.0003368252355645797,0.0009814235970079987,1.0663951717085985e-05,0.00012159042643941132,0.0003494590605135612
266010,Colo,Indonesia,Bayesian update,2,1,0,Large cone,Well-plugged stratocone,0.005449987729119788,0.010066664638699516,0.016788043830157372,0.00524032485889927,0.007922495031449647,0.01076126367373647,0.00010820616628386473,0.0010849052666501982,0.0030268618599386212,7.504727273602924e-05,0.0007642842570450535,0.002136512339758033,2.6409431200624673e-05,0.0002949800835546166,0.0008634059567242481,0.0,0.0,0.0
272010,Cuernos de Negros,Philippines and SE Asia,Analogue,0,0,0,Large cone,Well-plugged stratocone,6.947144103612522e-05,0.0020400642745888008,0.011817543532708159,6.316566352196729e-05,0.0018452011798760853,0.01069774401305148,4.426754954335522e-06,0.0001340393116039021,0.0007669261183786956,1.5488503578863219e-06,5.0222420142403196e-05,0.00028702608972796905,2.956771502304553e-07,9.539494554507284e-06,5.847665433102684e-05,3.449505170562915e-08,1.0618684119027087e-06,7.370657218987676e-06
261210,"Daun, Bukit",Indonesia,Analogue,0,0,0,Large cone,Well-plugged stratocone,5.998102627036322e-05,0.0020793025445899143,0.011866385922982286,5.362583482838585e-05,0.0018807387158670309,0.010716782404368403,4.235042952815204e-06,0.00013745095949542236,0.0007939779203959789,1.7481813596665318e-06,5.000120820761869e-05,0.0002909995082155291,3.4240655791827896e-07,1.0053037837860476e-05,5.767375985979381e-05,2.9560571577355823e-08,1.0586231819820102e-06,6.952330142580879e-06
261230,Dempo,Indonesia,Bayesian update,28,0,0,Large cone,Open-vent stratocone,0.09139882126731567,0.11092284801550802,0.13513638383059348,0.09012281880667887,0.1011215183738899,0.11132334454621721,0.0008305179768650616,0.005829155180308196,0.013552729971663768,0.0003013048834195507,0.002525139974495344,0.006320591633554315,8.9362470984256e-05,0.0009327503788920206,0.002514371056725299,5.481712936793207e-05,0.0005142841079225502,0.0014253466224328798
274020,Didicas,Philippines and SE Asia,Bayesian update,5,0,0,Large cone,Semi-plugged stratocone,0.015434452566938518,0.023739089544831178,0.0346258666905706,0.015011191831506118,0.019787479926631685,0.024284794671225955,0.0002795632436729214,0.0024911048227456304,0.006285681925470861,0.000107346626233331,0.0010741975920183712,0.0029451664825191014,3.6350865526148815e-05,0.00038630720343549264,0.0011102236113546807,0.0,0.0,0.0
263200,Dieng Volcanic Complex,Indonesia,Bayesian update,23,0,0,Large cone,Semi-plugged stratocone,0.07301183296286205,0.09130638052444069,0.11347881521493389,0.07164861544902495,0.08140879684695156,0.09083498378587768,0.0009790286885221304,0.006365453644741639,0.013491747632000695,0.00028056975207035905,0.002488854977451051,0.006261498837557243,8.438361939062776e-05,0.0008471924129122246,0.0023279154519141214,1.9235453853971916e-05,0.00019608264238422213,0.0005626695075841378
268010,Dukono,Indonesia,Bayesian update,3,0,1,Large cone,Open-vent stratocone,0.009095723796458385,0.014757921101275278,0.022843171825462184,0.008822283629357823,0.012053786865125524,0.015295697145314046,0.00014418548919332817,0.0013727603414131055,0.003749570301586162,6.71834075199835e-05,0.0006903012874077537,0.001954469308812443,4.2043624503400595e-05,0.00043800094770151597,0.0012453915285221666,2.0027645883851095e-05,0.0002030716596273809,0.0005980435412273672
264100,Ebulobo,Indonesia,Bayesian update,6,0,1,Large cone,Semi-plugged stratocone,0.01778135562653332,0.02651203045994347,0.038105538954498516,0.01733985667384872,0.02225399287080837,0.027012231992231375,0.0002711724642611019,0.0024848536126264014,0.006170656523772933,0.00011650664100162117,0.00118915199178878,0.0032504478098445188,3.84865885916092e-05,0.0004252900661966152,0.0012076845579146918,1.533325883026471e-05,0.00015874191852330467,0.0004645180707349938
